Date,Equity,Daily_Return,Drawdown
2021-10-22,9960.7261,0.0002601491012046431,-0.013250553995649672
2021-10-25,9954.5712,-0.0006179168002621305,-0.013860283055985079
2021-10-26,9957.0045,0.00024444046369365147,-0.013619230606308652
2021-10-27,9962.5686,0.0005588126428988094,-0.013068028561659117
2021-10-28,9977.0323,0.0014518043067728303,-0.011635196475033083
2021-10-29,9982.5729,0.0005553354778653485,-0.011086322434562201
2021-11-01,9961.0491,-0.0021561375224216084,-0.01321855632119695
2021-11-02,9956.5119,-0.0004554941908679888,-0.013668029536448967
2021-11-03,9958.6096,0.0002106862344031235,-0.013460222967720648
2021-11-04,9961.4038,0.00028058133737873803,-0.013183418317703643
2021-11-05,9960.0885,-0.00013203962276886472,-0.013313717206891118
2021-11-08,9958.7404,-0.0001353502029625142,-0.01344726539552743
2021-11-09,9957.3712,-0.00013748726696405367,-0.013582903834724158
2021-11-10,9962.1729,0.00048222567016487083,-0.013107228189463749
2021-11-11,9953.7505,-0.000845438046954583,-0.0139415848870168
2021-11-12,9958.2375,0.000450784857426223,-0.013497084684946148
2021-11-15,9954.0156,-0.00042396056531068815,-0.013915323018603876
2021-11-16,9958.4948,0.0004499892485601009,-0.013471595515792356
2021-11-17,9957.0332,-0.00014676916836875442,-0.013616387469290614
2021-11-18,9957.4999,4.687139136994034e-05,-0.013570154296946746
2021-11-19,9948.0189,-0.0009521466327105932,-0.014509380152938234
2021-11-22,9941.9771,-0.0006073370045566184,-0.015107905074014827
2021-11-23,9956.2824,0.0014388787920260881,-0.013690764726191573
2021-11-24,9958.1154,0.00018410486227282696,-0.013509180400273157
2021-11-26,9951.2227,-0.0006921691226836613,-0.014191998885411006
2021-11-29,9949.4581,-0.00017732494319522285,-0.014366807233210044
2021-11-30,9928.5632,-0.002100104326284824,-0.016436739765469444
2021-12-01,9965.0877,0.0036787296675513392,-0.012818476420131009
2021-12-02,9977.6799,0.0012636316286507299,-0.011571042623715777
2021-12-03,9985.6408,0.0007978708557287995,-0.010782403965666987
2021-12-06,10000.4476,0.0014828091953797973,-0.0093155830180357
2021-12-07,9997.8434,-0.0002604083441224425,-0.009573565506609927
2021-12-08,9999.2389,0.0001395801018448939,-0.009435321684013509
2021-12-09,10000.8145,0.00015757199280441725,-0.009279236433649696
2021-12-10,9995.9012,-0.0004912899844308205,-0.009765967622157423
2021-12-13,9998.5033,0.00026031669860837603,-0.009508193167999113
2021-12-14,10001.9964,0.0003493622890538006,-0.009162152683075298
2021-12-15,10006.2795,0.0004282245092590564,-0.008737851632152682
2021-12-16,9999.5622,-0.0006713084518576995,-0.009403294290358688
2021-12-17,9992.7447,-0.0006817798483218507,-0.010078663162125578
2021-12-20,9991.2446,-0.00015011891577687564,-0.010227269079916002
2021-12-21,10004.9225,0.0013689886042826949,-0.008872281490456713
2021-12-22,10001.353,-0.0003567743778126742,-0.009225890465560882
2021-12-23,10000.7497,-6.0321838455168475e-05,-0.009285655781341773
2021-12-27,10000.2092,-5.4045948175374114e-05,-0.009339199877445914
2021-12-28,10000.8524,6.43186544537766e-05,-0.009275481907761951
2021-12-29,9999.1314,-0.00017208533144630334,-0.009445971064829806
2021-12-30,10000.1074,9.760847827244845e-05,-0.009349284593418772
2021-12-31,10020.4674,0.0020359781335947957,-0.007332341398820996
2022-01-03,10025.0909,0.00046140562265595264,-0.006874318959713799
2022-01-04,10020.4641,-0.0004615219997655684,-0.0073326683100460865
2022-01-05,10023.465,0.00029947714697176053,-0.007035387129659565
2022-01-06,10022.2749,-0.00011873139677742728,-0.007153283205096228
2022-01-07,10024.7666,0.0002486162098787048,-0.0069064454173761725
2022-01-10,10023.9174,-8.471020163203224e-05,-0.006990570572624422
2022-01-11,10024.1337,2.1578390101195666e-05,-0.006969143027781954
2022-01-12,10027.1157,0.000297482065707122,-0.006673734157139011
2022-01-13,10031.53,0.0004402362685413941,-0.006236435908420157
2022-01-14,10024.518,-0.0006989960654057992,-0.0069310727296638674
2022-01-18,10024.5233,5.287037243562054e-07,-0.006930547690423561
2022-01-19,10029.2301,0.00046952856102389084,-0.00646427321948384
2022-01-20,10031.804,0.00025663983918366995,-0.006209292370339736
2022-01-21,10018.5357,-0.0013226235281310617,-0.007523703342288801
2022-01-24,10020.6372,0.0002097611929454679,-0.007315520330331782
2022-01-25,10014.9337,-0.0005691753813819034,-0.007880531897639598
2022-01-26,10012.9438,-0.000198693277420392,-0.00807765936634941
2022-01-27,10014.1788,0.00012334035071681626,-0.00795531531697169
2022-01-28,10034.27,0.002006275342317787,-0.005965000527614839
2022-01-31,10031.2224,-0.0003037191544577045,-0.006266907997155902
2022-02-01,10013.0207,-0.0018145046809052712,-0.008070041344165446
2022-02-02,10009.4616,-0.00035544718288649246,-0.008422620053590402
2022-02-03,10011.3647,0.00019013010649837625,-0.008234091340739713
2022-02-04,10011.2547,-1.0987513021087914e-05,-0.008244988381575058
2022-02-07,10008.5698,-0.0002681881622690341,-0.00851096533556217
2022-02-08,10007.1075,-0.0001461047911159863,-0.008655826633865549
2022-02-09,10005.9347,-0.00011719670244381142,-0.00877200890197094
2022-02-10,10009.7151,0.0003778157776703761,-0.008397507327665643
2022-02-11,10000.8693,-0.000883721455768427,-0.00927380772603359
2022-02-14,10000.8757,6.399443697180374e-07,-0.00927317371638492
2022-02-15,9999.4316,-0.00014439735512372653,-0.009416232049750395
2022-02-16,9991.1063,-0.0008325773236951273,-0.010240969632166252
2022-02-17,9992.4544,0.0001349300026967093,-0.010107421443529718
2022-02-18,9990.7723,-0.0001683370203821033,-0.010274057010702276
2022-02-22,9988.6461,-0.0002128163805715788,-0.010484686903647011
2022-02-23,9980.1295,-0.000852628065379224,-0.01132837543071552
2022-02-24,10004.1921,0.0024110508786485685,-0.00894463784160282
2022-02-25,9997.6064,-0.0006582940365569279,-0.009597043676409456
2022-02-28,9993.037,-0.0004570493993442115,-0.01004970675270589
2022-03-01,9985.0087,-0.0008033894000392117,-0.010845022324866505
2022-03-02,9981.8525,-0.00031609386579700693,-0.011157688145632227
2022-03-03,9972.589,-0.0009280341499737776,-0.012075367579972074
2022-03-04,9981.2052,0.0008639882782695008,-0.011221812277747323
2022-03-07,9979.5069,-0.00017014979313323408,-0.0113900526818429
2022-03-08,9972.9493,-0.0006571066151574989,-0.01203967481803625
2022-03-09,9975.256,0.00023129567098068016,-0.011811163871720987
2022-03-10,9969.1327,-0.0006138489077371911,-0.012417762509416508
2022-03-11,9967.9682,-0.00011681056266821255,-0.012533122546258824
2022-03-14,9973.3755,0.0005424676214356161,-0.011997453737999986
2022-03-15,9969.5703,-0.0003815358200441876,-0.012374412099693699
2022-03-16,9982.8795,0.0013349823111232784,-0.01105594940983412
2022-03-17,9992.9984,0.0010136253773274095,-0.010053530623398976
2022-03-18,9993.0089,1.050735683127968e-06,-0.010052490451319285
2022-03-21,9992.3125,-6.968872008117355e-05,-0.01012147862620727
2022-03-22,9991.6757,-6.372899166240398e-05,-0.010184562586242674
2022-03-23,9993.0387,0.00013641355473525962,-0.010049538343893105
2022-03-24,9992.4813,-5.577882931639966e-05,-0.010104756621725608
2022-03-25,9992.1534,-3.2814672367709186e-05,-0.010137239709815393
2022-03-28,9989.3391,-0.0002816510002738859,-0.010416035546385038
2022-03-29,9988.3692,-9.709351042053171e-05,-0.010512117727349612
2022-03-30,9982.914,-0.0005461552222156829,-0.011052531701572055
2022-03-31,9982.1416,-7.737219813774843e-05,-0.01112904874103704
2022-04-01,9986.6306,0.00044970309778014084,-0.01068435041095106
2022-04-04,9985.6291,-0.00010028407378959159,-0.010783563014555742
2022-04-05,9986.7886,0.00011611687039314589,-0.010668698297751411
2022-04-06,9985.8241,-9.657759252057474e-05,-0.01076424553307509
2022-04-07,9987.0317,0.0001209314311874099,-0.010644615837505533
2022-04-08,9988.9108,0.0001881540037567131,-0.010458464660837108
2022-04-11,9995.5029,0.0006599418226860276,-0.009805424816381914
2022-04-12,9995.129,-3.7406822221863756e-05,-0.009842464848820898
2022-04-13,9988.2812,-0.0006851137188925716,-0.0105208353600178
2022-04-14,9986.7788,-0.0001504162698182654,-0.010669669125025871
2022-04-18,9982.7739,-0.00040102019682264345,-0.0110664105690359
2022-04-19,9987.4448,0.00046789600233254625,-0.01060369249596882
2022-04-20,9984.9696,-0.00024783115697413205,-0.010848895727563423
2022-04-21,9963.5191,-0.002148278949191895,-0.012973868222441842
2022-04-22,9955.5648,-0.0007983424250171955,-0.013761853058040452
2022-04-25,9960.1546,0.00046102858975904937,-0.013307169075989167
2022-04-26,9956.1811,-0.00039893959075698593,-0.013700799910160821
2022-04-27,9960.5129,0.0004350865011886196,-0.01327167444206856
2022-04-28,9954.9747,-0.000556015544139199,-0.013820310728921203
2022-04-29,9948.1808,-0.0006824628092726437,-0.01449334169010874
2022-05-02,9938.9906,-0.0009238070944590504,-0.015403759732692035
2022-05-03,9948.8786,0.0009948696399815216,-0.014424214825610293
2022-05-04,9941.8669,-0.0007047728977213064,-0.015118821927651571
2022-05-05,9952.9194,0.0011117127307347374,-0.014023916983727513
2022-05-06,9970.7206,0.0017885405562512169,-0.012260458771759186
2022-05-09,9975.5664,0.00048600298758749716,-0.011780414403764095
2022-05-10,9980.6819,0.000512802962245873,-0.011273652472921003
2022-05-11,9983.8094,0.00031335534298526646,-0.010963829789173096
2022-05-12,9983.7043,-1.052704391579784e-05,-0.010974241416371266
2022-05-13,9981.9031,-0.00018041399723744966,-0.011152675506848175
2022-05-16,9985.4334,0.00035367003312236633,-0.010802949840841736
2022-05-17,9979.1603,-0.0006282251103892911,-0.011424388266874752
2022-05-18,9978.0108,-0.00011519005261384496,-0.011538262343603112
2022-05-19,9977.987,-2.3852449629879757e-06,-0.011540620066983975
2022-05-20,9976.4131,-0.000157737226957666,-0.011696536908534894
2022-05-23,9974.6413,-0.0001775989007513079,-0.011872058517188533
2022-05-24,9971.8548,-0.0002793584166279617,-0.012148100374347104
2022-05-25,9988.9153,0.0017108652645043687,-0.010458018872802843
2022-05-26,9987.0712,-0.00018461463978980408,-0.010640702809205593
2022-05-27,9986.2579,-8.14352860526446e-05,-0.010721271566581092
2022-05-31,9979.5124,-0.0006754782489646338,-0.011389507829801193
2022-06-01,9981.1619,0.00016528863674736272,-0.011226101749276296
2022-06-02,10005.0432,0.0023926372740232793,-0.008860324464740277
2022-06-03,10010.9673,0.0005921113863855965,-0.00827345937735724
2022-06-06,10007.6044,-0.0003359215847204,-0.00860660172849248
